sample_name,description
Super Mario Sunshine Fx (60),"dry,effects, Child, One shot"
Super Mario Sunshine Fx (600),"clean,dry,destructed,effects, FX, One shot"
Super Mario Sunshine Fx (601),"cinematic,clean,dry,effects, Animals, One shot"
Super Mario Sunshine Fx (602),"cinematic,clean,dry,effects,percussive, Foley, One shot"
Super Mario Sunshine Fx (603),"dry,effects, , One shot"
Super Mario Sunshine Fx (604),"bright,cinematic,clean,dry,effects,percussive, Foley, One shot"
Super Mario Sunshine Fx (605),"cinematic,clean,dry,effects, Animals, One shot"
Super Mario Sunshine Fx (606),"cinematic,clean,effects, Animals, One shot"
Super Mario Sunshine Fx (607),"bright,dry,saturated,effects, Crash, One shot"
Super Mario Sunshine Fx (608),"cinematic,clean,wet,effects, Animals, One shot"
Super Mario Sunshine Fx (609),"impact,effects, Explosion, One shot"
Super Mario Sunshine Fx (61),"effects,speech, Spoken, One shot"
Super Mario Sunshine Fx (610),"clean,effects, FX, One shot"
Super Mario Sunshine Fx (611),"bright,cinematic,clean,dry,effects,percussive, Foley, One shot"
Super Mario Sunshine Fx (612),"cinematic,clean,dry,effects, Animals, One shot"
Super Mario Sunshine Fx (613),"bright,clean,electronic,dry,effects, Hi-hat, One shot"
Super Mario Sunshine Fx (614),"clean,dry,down,effects,up, Siren, One shot"
Super Mario Sunshine Fx (615),"dry,effects, , One shot"
Super Mario Sunshine Fx (616),"acoustic,zither,dry,effects,plucked, Koto, One shot"
Super Mario Sunshine Fx (617),"acoustic,dry,contrabass,effects,low,bow, Double Bass, One shot"
Super Mario Sunshine Fx (618),"dry,effects, Percussion, One shot"
Super Mario Sunshine Fx (619),"destructed,effects, Glitch, One shot"
Super Mario Sunshine Fx (62),"effects, Child, One shot"
Super Mario Sunshine Fx (620),"clean,dry,effects, Percussion, Loop"
Super Mario Sunshine Fx (621),"acoustic,clean,dry,drum,effects, Timbale, One shot"
Super Mario Sunshine Fx (622),"acoustic,clean,dry,brass,effects, Trumpet, One shot"
Super Mario Sunshine Fx (623),"clean,electronic,dry,effects,percussive, Percussion, One shot"
Super Mario Sunshine Fx (624),"clean,dry,destructed,effects, Glitch, One shot"
Super Mario Sunshine Fx (625),"acoustic,dry,drum,effects,hand drum,percussive,skin, Conga, One shot"
Super Mario Sunshine Fx (626),"bright,dry,destructed,effects, Glitch, One shot"
Super Mario Sunshine Fx (627),"cinematic,clean,effects, Animals, One shot"
Super Mario Sunshine Fx (628),"electronic,dry,effects,percussive, Percussion, One shot"
Super Mario Sunshine Fx (629),"clean,dry,noise,effects, Machine, One shot"
Super Mario Sunshine Fx (63),"effects,speech, Spoken, One shot"
Super Mario Sunshine Fx (630),"clean,dry,noise,effects, Machine, One shot"
Super Mario Sunshine Fx (631),"clean,noise,effects, Machine, One shot"
Super Mario Sunshine Fx (632),"acoustic,brass,effects,low, Tuba, One shot"
Super Mario Sunshine Fx (633),"electronic,dry,effects,hit, Clap, One shot"
Super Mario Sunshine Fx (634),"electronic,dry,effects,percussive, Percussion, One shot"
Super Mario Sunshine Fx (635),"clean,dry,destructed,effects, Scratch, One shot"
Super Mario Sunshine Fx (636),"cinematic,effects,percussive, Foley, One shot"
Super Mario Sunshine Fx (637),"dry,impact,effects, Explosion, One shot"
Super Mario Sunshine Fx (638),"destructed,effects, Scratch, One shot"
Super Mario Sunshine Fx (639),"effects,percussive, , One shot"
Super Mario Sunshine Fx (64),"clean,dry,effects,speech, Spoken, One shot"
Super Mario Sunshine Fx (640),"destructed,effects, Glitch, One shot"
Super Mario Sunshine Fx (641),"clean,dry,destructed,effects, Scratch, One shot"
Super Mario Sunshine Fx (642),"electronic,dry,effects, Hi-hat, One shot"
Super Mario Sunshine Fx (643),"cinematic,clean,dry,effects, Animals, One shot"
Super Mario Sunshine Fx (644),"dry,destructed,effects, Scratch, One shot"
Super Mario Sunshine Fx (645),"wet,impact,effects, Explosion, One shot"
Super Mario Sunshine Fx (646),"electronic,dry,effects,percussive, Percussion, One shot"
Super Mario Sunshine Fx (647),"dry,impact,effects, Explosion, One shot"
Super Mario Sunshine Fx (648),"clean,noise,effects, Texture, One shot"
Super Mario Sunshine Fx (649),"acoustic,clean,monophonic,dry,effects,woodwind, Flute, One shot"
Super Mario Sunshine Fx (65),"clean,dry,effects,speech, Spoken, One shot"
Super Mario Sunshine Fx (650),"dry,impact,effects, Explosion, One shot"
Super Mario Sunshine Fx (651),"clean,dry,impact,effects, Explosion, One shot"
Super Mario Sunshine Fx (652),"clean,wet,impact,effects, Explosion, One shot"
Super Mario Sunshine Fx (653),"dry,effects,percussive, , One shot"
Super Mario Sunshine Fx (654),"clean,electronic,dry,down,effects, Sweep, One shot"
Super Mario Sunshine Fx (655),"destructed,effects, Scratch, One shot"
Super Mario Sunshine Fx (656),"wet,impact,effects, Explosion, One shot"
Super Mario Sunshine Fx (657),"cinematic,dry,effects,percussive, Foley, One shot"
Super Mario Sunshine Fx (658),"effects, FX, One shot"
Super Mario Sunshine Fx (659),"dry,impact,effects, Explosion, One shot"
Super Mario Sunshine Fx (66),"dry,effects,speech, Spoken, Loop"
Super Mario Sunshine Fx (660),"effects, , One shot"
Super Mario Sunshine Fx (661),"cinematic,clean,effects, Animals, One shot"
Super Mario Sunshine Fx (662),"clean,effects,speech, Spoken, One shot"
Super Mario Sunshine Fx (663),"dry,effects,speech, Shout, One shot"
Super Mario Sunshine Fx (664),"cinematic,effects, Animals, One shot"
Super Mario Sunshine Fx (665),"clean,dry,destructed,effects, Scratch, One shot"
Super Mario Sunshine Fx (666),"bright,clean,dry,noise,effects, Texture, One shot"
Super Mario Sunshine Fx (667),"electronic,dry,effects, Hi-hat, One shot"
Super Mario Sunshine Fx (668),"electronic,dry,effects, Hi-hat, One shot"
Super Mario Sunshine Fx (669),"electronic,dry,effects, Hi-hat, One shot"
Super Mario Sunshine Fx (67),"clean,wet,effects,speech, Spoken, One shot"
Super Mario Sunshine Fx (670),"acoustic,effects,hit, Rim, One shot"
Super Mario Sunshine Fx (671),"electronic,effects,percussive, Percussion, One shot"
Super Mario Sunshine Fx (672),"effects, FX, One shot"
Super Mario Sunshine Fx (673),"electronic,effects,percussive, Percussion, One shot"
Super Mario Sunshine Fx (674),"electronic,effects,hit, Rim, One shot"
Super Mario Sunshine Fx (675),"cinematic,effects,percussive, Foley, One shot"
Super Mario Sunshine Fx (676),"electronic,punchy,effects, Stab, One shot"
Super Mario Sunshine Fx (677),"impact,effects, Explosion, One shot"
Super Mario Sunshine Fx (678),"impact,effects, Explosion, One shot"
Super Mario Sunshine Fx (679),"acoustic,brass,effects,low, Tuba, One shot"
Super Mario Sunshine Fx (68),"clean,dry,effects,speech, Spoken, One shot"
Super Mario Sunshine Fx (680),"acoustic,drum,effects,hand drum,percussive,skin, Conga, One shot"
Super Mario Sunshine Fx (681),"electronic,dry,effects,hit, Snare, One shot"
Super Mario Sunshine Fx (682),"electronic,dry,effects, Drums, One shot"
Super Mario Sunshine Fx (683),"electronic,effects,hit, Kick, One shot"
Super Mario Sunshine Fx (684),"acoustic,drum,effects,hit, Kick, One shot"
Super Mario Sunshine Fx (685),"acoustic,drum,effects,hit, Kick, One shot"
Super Mario Sunshine Fx (686),"electronic,effects,hit, Rim, One shot"
Super Mario Sunshine Fx (687),"impact,effects, FX, One shot"
Super Mario Sunshine Fx (688),"electronic,effects,hit, Kick, One shot"
Super Mario Sunshine Fx (689),"dark,electronic,effects,hit, Kick, One shot"
Super Mario Sunshine Fx (69),"clean,effects,speech, Spoken, One shot"
Super Mario Sunshine Fx (690),"effects, Kick, One shot"
Super Mario Sunshine Fx (691),"electronic,effects,percussive, Percussion, One shot"
Super Mario Sunshine Fx (692),"electronic,effects,hit, Kick, One shot"
Super Mario Sunshine Fx (693),"electronic,effects,hit, Kick, One shot"
Super Mario Sunshine Fx (694),"electronic,effects,hit, Kick, One shot"
Super Mario Sunshine Fx (695),"acoustic,drum,effects, Percussion, One shot"
Super Mario Sunshine Fx (696),"clean,effects, Chopped, One shot"
Super Mario Sunshine Fx (697),"cinematic,clean,dry,effects,percussive, Foley, One shot"
Super Mario Sunshine Fx (698),"clean,dry,noise,effects, Machine, One shot"
Super Mario Sunshine Fx (699),"bright,clean,dry,destructed,effects, Glitch, One shot"
Super Mario Sunshine Fx (7),"clean,effects,electric,plucked, Electric Guitar, One shot"
Super Mario Sunshine Fx (70),"clean,effects,speech, Spoken, One shot"
Super Mario Sunshine Fx (700),"clean,dry,destructed,effects, Scratch, One shot"
Super Mario Sunshine Fx (701),"destructed,effects, Scratch, One shot"
Super Mario Sunshine Fx (702),"wet,impact,effects, Explosion, One shot"
Super Mario Sunshine Fx (703),"acoustic,dry,drum,effects, Timpani, One shot"
Super Mario Sunshine Fx (704),"clean,wet,down,effects,up, Siren, Loop"
Super Mario Sunshine Fx (705),"acoustic,dry,drum,effects,hand drum,percussive,skin, Conga, One shot"
Super Mario Sunshine Fx (706),"acoustic,dry,drum,effects,hit, Kick, One shot"
Super Mario Sunshine Fx (707),"clean,electronic,dry,707,effects,up, Sweep, One shot"
Super Mario Sunshine Fx (708),"bright,clean,electronic,dry,effects,up, Sweep, One shot"
Super Mario Sunshine Fx (709),"electronic,dry,effects,hit, Rim, One shot"
Super Mario Sunshine Fx (71),"clean,dry,effects,speech, Shout, One shot"
Super Mario Sunshine Fx (710),"clean,effects,speech, Shout, One shot"
Super Mario Sunshine Fx (711),"electronic,dry,saturated,down,effects, Sweep, Loop"
Super Mario Sunshine Fx (712),"destructed,effects, Glitch, One shot"
Super Mario Sunshine Fx (713),"acoustic,dry,effects, Whistle, One shot"
Super Mario Sunshine Fx (714),"clean,noise,effects, Texture, One shot"
Super Mario Sunshine Fx (715),"cinematic,clean,dry,effects, Animals, One shot"
Super Mario Sunshine Fx (716),"cinematic,clean,effects, Animals, One shot"
Super Mario Sunshine Fx (717),"clean,effects, FX, One shot"
Super Mario Sunshine Fx (718),"clean,electronic,dry,effects,hit, Rim, One shot"
Super Mario Sunshine Fx (719),"dry,impact,effects, FX, One shot"
Super Mario Sunshine Fx (72),"clean,dry,effects, Child, One shot"
Super Mario Sunshine Fx (720),"clean,electronic,dry,effects,hit, Clap, One shot"
Super Mario Sunshine Fx (721),"clean,electronic,dry,effects,hit, Clap, One shot"
Super Mario Sunshine Fx (722),"bright,electronic,dry,effects,hit, Clap, One shot"
Super Mario Sunshine Fx (723),"bright,dry,effects,percussive, , One shot"
Super Mario Sunshine Fx (724),"bright,electronic,dry,effects,hit, Snare, One shot"
Super Mario Sunshine Fx (725),"bright,electronic,dry,effects,hit, Snare, One shot"
Super Mario Sunshine Fx (726),"dry,impact,effects, Explosion, One shot"
Super Mario Sunshine Fx (727),"clean,effects,speech, Spoken, Loop"
Super Mario Sunshine Fx (728),"clean,effects,speech, Spoken, One shot"
Super Mario Sunshine Fx (729),"clean,effects,speech, Spoken, One shot"
Super Mario Sunshine Fx (73),"clean,effects, Child, One shot"
Super Mario Sunshine Fx (730),"clean,dry,effects, Child, One shot"
Super Mario Sunshine Fx (731),"clean,dry,effects, Child, One shot"
Super Mario Sunshine Fx (732),"clean,dry,effects,speech, Spoken, Loop"
Super Mario Sunshine Fx (733),"dry,effects,speech, Spoken, Loop"
Super Mario Sunshine Fx (734),"effects, Child, One shot"
Super Mario Sunshine Fx (735),"clean,effects,speech, Spoken, One shot"
Super Mario Sunshine Fx (736),"clean,effects,speech, Spoken, One shot"
Super Mario Sunshine Fx (737),"clean,effects,speech, Spoken, One shot"
Super Mario Sunshine Fx (738),"clean,effects,speech, Spoken, One shot"
Super Mario Sunshine Fx (739),"clean,effects,speech, Spoken, One shot"
Super Mario Sunshine Fx (74),"dry,effects,speech, Shout, One shot"
Super Mario Sunshine Fx (740),"clean,dry,effects, Child, One shot"
Super Mario Sunshine Fx (741),"clean,dry,effects,speech, Shout, One shot"
Super Mario Sunshine Fx (742),"effects,speech, Spoken, One shot"
Super Mario Sunshine Fx (743),"clean,effects,speech, Spoken, One shot"
Super Mario Sunshine Fx (744),"clean,effects,speech, Spoken, Loop"
Super Mario Sunshine Fx (745),"clean,effects,speech, Spoken, One shot"
Super Mario Sunshine Fx (746),"clean,effects,speech, Spoken, One shot"
Super Mario Sunshine Fx (747),"clean,dry,effects, Child, One shot"
Super Mario Sunshine Fx (748),"clean,dry,effects,speech, Spoken, One shot"
Super Mario Sunshine Fx (749),"clean,dry,effects,speech, Spoken, One shot"
Super Mario Sunshine Fx (75),"dry,effects,speech, Shout, One shot"
Super Mario Sunshine Fx (750),"clean,wet,effects,speech, Spoken, One shot"
Super Mario Sunshine Fx (751),"cinematic,dry,effects, Animals, One shot"
Super Mario Sunshine Fx (752),"dry,effects,speech, Vocal, One shot"
Super Mario Sunshine Fx (753),"clean,dry,effects,speech, Vocal, One shot"
Super Mario Sunshine Fx (754),"clean,dry,effects,speech, Spoken, One shot"
Super Mario Sunshine Fx (755),"clean,wet,effects,speech, Shout, One shot"
Super Mario Sunshine Fx (756),"clean,effects, Child, One shot"
Super Mario Sunshine Fx (757),"dry,effects, Child, One shot"
Super Mario Sunshine Fx (758),"dry,effects,speech, Shout, One shot"
Super Mario Sunshine Fx (759),"cinematic,dry,effects, Animals, One shot"
Super Mario Sunshine Fx (76),"dry,effects, Child, One shot"
Super Mario Sunshine Fx (760),"cinematic,clean,dry,effects, Animals, One shot"
Super Mario Sunshine Fx (761),"cinematic,clean,dry,effects, Animals, Loop"
Super Mario Sunshine Fx (762),"clean,down,effects,up, Siren, One shot"
Super Mario Sunshine Fx (763),"dry,effects,speech, Vocal, Loop"
Super Mario Sunshine Fx (764),"clean,effects,speech, Spoken, One shot"
Super Mario Sunshine Fx (765),"clean,effects,speech, Spoken, One shot"
Super Mario Sunshine Fx (766),"clean,effects,speech, Vocal, One shot"
Super Mario Sunshine Fx (767),"clean,dry,effects,speech, Spoken, One shot"
Super Mario Sunshine Fx (768),"clean,effects,speech, Spoken, One shot"
Super Mario Sunshine Fx (769),"acoustic,clean,dry,effects, Whistle, One shot"
Super Mario Sunshine Fx (77),"effects,speech, Vocal, One shot"
Super Mario Sunshine Fx (770),"acoustic,clean,dry,effects, Whistle, One shot"
Super Mario Sunshine Fx (771),"clean,dry,effects, Child, One shot"
Super Mario Sunshine Fx (772),"clean,effects, Child, One shot"
Super Mario Sunshine Fx (773),"clean,effects,speech, Shout, One shot"
Super Mario Sunshine Fx (774),"clean,effects, Child, One shot"
Super Mario Sunshine Fx (775),"acoustic,clean,dry,effects, Whistle, One shot"
Super Mario Sunshine Fx (776),"acoustic,dry,effects, Whistle, One shot"
Super Mario Sunshine Fx (777),"clean,dry,effects, Chopped, One shot"
Super Mario Sunshine Fx (778),"clean,dry,effects, Vocal, One shot"
Super Mario Sunshine Fx (779),"clean,effects, Child, One shot"
Super Mario Sunshine Fx (78),"clean,dry,effects,speech, Shout, One shot"
Super Mario Sunshine Fx (780),"clean,dry,effects, Child, One shot"
Super Mario Sunshine Fx (781),"clean,dry,effects,speech, Spoken, One shot"
Super Mario Sunshine Fx (782),"electronic,dry,effects,hit, Clap, One shot"
Super Mario Sunshine Fx (783),"clean,wet,down,effects,up, Siren, One shot"
Super Mario Sunshine Fx (784),"noise,effects, FX, Loop"
Super Mario Sunshine Fx (785),"effects, FX, One shot"
Super Mario Sunshine Fx (786),"impact,effects, Explosion, One shot"
Super Mario Sunshine Fx (787),"clean,wet,impact,effects, Explosion, Loop"
Super Mario Sunshine Fx (788),"clean,destructed,effects, Glitch, Loop"
Super Mario Sunshine Fx (789),"clean,impact,effects, Explosion, Loop"
Super Mario Sunshine Fx (79),"clean,dry,effects, Child, One shot"
Super Mario Sunshine Fx (790),"clean,impact,effects, Explosion, Loop"
Super Mario Sunshine Fx (791),"impact,effects, Explosion, Loop"
Super Mario Sunshine Fx (792),"impact,effects, Explosion, One shot"
Super Mario Sunshine Fx (793),"clean,destructed,effects, Glitch, One shot"
Super Mario Sunshine Fx (794),"destructed,effects, Glitch, One shot"
Super Mario Sunshine Fx (795),"wet,destructed,effects, Glitch, Loop"
Super Mario Sunshine Fx (796),"acoustic,clean,dry,effects, Whistle, One shot"
Super Mario Sunshine Fx (797),"clean,noise,effects, Machine, Loop"
Super Mario Sunshine Fx (798),"bright,clean,dry,destructed,effects, Glitch, One shot"
Super Mario Sunshine Fx (799),"bright,clean,dry,destructed,effects, Glitch, One shot"
Super Mario Sunshine Fx (8),"acoustic,bright,clean,effects,percussive,struck,bells, Glockenspiel, One shot"
Super Mario Sunshine Fx (80),"wet,effects, Child, One shot"
Super Mario Sunshine Fx (800),"bright,clean,dry,destructed,effects, Glitch, One shot"
Super Mario Sunshine Fx (801),"acoustic,dry,effects, Whistle, One shot"
Super Mario Sunshine Fx (802),"clean,destructed,effects, Scratch, One shot"
Super Mario Sunshine Fx (803),"clean,dry,effects,percussive, , One shot"
Super Mario Sunshine Fx (804),"clean,electronic,dry,effects,hit, Clap, One shot"
Super Mario Sunshine Fx (805),"clean,electronic,dry,effects,hit, Clap, One shot"
Super Mario Sunshine Fx (806),"destructed,effects, Scratch, One shot"
Super Mario Sunshine Fx (807),"impact,effects, Explosion, One shot"
Super Mario Sunshine Fx (808),"808,wet,destructed,effects, Glitch, One shot"
Super Mario Sunshine Fx (809),"acoustic,dry,effects, Whistle, One shot"
Super Mario Sunshine Fx (81),"clean,effects,speech, Spoken, One shot"
Super Mario Sunshine Fx (810),"acoustic,bright,clean,monophonic,dry,effects,woodwind, Flute, One shot"
Super Mario Sunshine Fx (811),"clean,noise,effects, FX, Loop"
Super Mario Sunshine Fx (812),"clean,electronic,effects,up, Sweep, Loop"
Super Mario Sunshine Fx (813),"clean,electronic,wet,down,effects, Sweep, One shot"
Super Mario Sunshine Fx (814),"clean,electronic,dry,effects,percussive, Percussion, One shot"
Super Mario Sunshine Fx (815),"clean,noise,effects, Machine, Loop"
Super Mario Sunshine Fx (816),"impact,effects, Explosion, One shot"
Super Mario Sunshine Fx (817),"clean,noise,effects, Texture, One shot"
Super Mario Sunshine Fx (818),"clean,noise,effects, Texture, One shot"
Super Mario Sunshine Fx (819),"impact,effects, Explosion, One shot"
Super Mario Sunshine Fx (82),"clean,effects, Child, One shot"
Super Mario Sunshine Fx (820),"clean,dry,destructed,effects, Scratch, One shot"
Super Mario Sunshine Fx (821),"acoustic,clean,dry,drum,effects,hit, Snare, One shot"
Super Mario Sunshine Fx (822),"bright,clean,dry,noise,effects, Machine, One shot"
Super Mario Sunshine Fx (823),"clean,wet,noise,effects, Machine, One shot"
Super Mario Sunshine Fx (824),"dry,noise,effects, Machine, One shot"
Super Mario Sunshine Fx (825),"effects, FX, One shot"
Super Mario Sunshine Fx (826),"dry,destructed,effects, FX, One shot"
Super Mario Sunshine Fx (827),"bright,clean,noise,effects, Texture, One shot"
Super Mario Sunshine Fx (828),"impact,effects, Explosion, One shot"
Super Mario Sunshine Fx (829),"cinematic,saturated,effects,percussive, Foley, One shot"
Super Mario Sunshine Fx (83),"dry,effects,speech, Spoken, One shot"
Super Mario Sunshine Fx (830),"impact,effects, Explosion, One shot"
Super Mario Sunshine Fx (831),"dry,noise,effects, Texture, One shot"
Super Mario Sunshine Fx (832),"dark,dry,effects,electric,plucked, Bass Guitar, Loop"
Super Mario Sunshine Fx (833),"cinematic,clean,dry,effects, Animals, One shot"
Super Mario Sunshine Fx (834),"clean,dry,effects, Child, One shot"
Super Mario Sunshine Fx (835),"acoustic,clean,monophonic,dry,effects,woodwind, Flute, One shot"
Super Mario Sunshine Fx (836),"acoustic,clean,monophonic,dry,effects,woodwind, Flute, One shot"
Super Mario Sunshine Fx (837),"electronic,saturated,effects,percussive, Percussion, One shot"
Super Mario Sunshine Fx (838),"clean,dry,destructed,effects, Scratch, One shot"
Super Mario Sunshine Fx (839),"clean,dry,destructed,effects, Scratch, One shot"
Super Mario Sunshine Fx (84),"clean,effects,speech, Vocal, One shot"
Super Mario Sunshine Fx (840),"dry,destructed,effects, Scratch, One shot"
Super Mario Sunshine Fx (841),"electronic,effects,percussive, Percussion, One shot"
Super Mario Sunshine Fx (842),"electronic,dry,effects,percussive, Percussion, One shot"
Super Mario Sunshine Fx (843),"acoustic,drum,effects,hit, Kick, One shot"
Super Mario Sunshine Fx (844),"clean,electronic,dry,effects,percussive, Percussion, One shot"
Super Mario Sunshine Fx (845),"clean,electronic,effects,hit, Snare, One shot"
Super Mario Sunshine Fx (846),"effects, FX, One shot"
Super Mario Sunshine Fx (847),"electronic,punchy,effects, Stab, One shot"
Super Mario Sunshine Fx (848),"noise,effects, Texture, One shot"
Super Mario Sunshine Fx (849),"clean,dry,destructed,effects, Glitch, One shot"
Super Mario Sunshine Fx (85),"clean,effects,speech, Spoken, One shot"
Super Mario Sunshine Fx (850),"bright,clean,electronic,dry,effects, Hi-hat, One shot"
Super Mario Sunshine Fx (851),"bright,clean,dry,effects, FX, One shot"
Super Mario Sunshine Fx (852),"dry,effects, FX, One shot"
Super Mario Sunshine Fx (853),"dark,electronic,effects, Tom, One shot"
Super Mario Sunshine Fx (854),"clean,impact,effects, Explosion, One shot"
Super Mario Sunshine Fx (855),"cinematic,clean,wet,effects, Animals, One shot"
Super Mario Sunshine Fx (856),"clean,effects,speech, Vocal, One shot"
Super Mario Sunshine Fx (857),"clean,dry,effects, Child, One shot"
Super Mario Sunshine Fx (858),"clean,dry,effects, Child, One shot"
Super Mario Sunshine Fx (859),"clean,dry,destructed,effects, Glitch, One shot"
Super Mario Sunshine Fx (86),"cinematic,clean,dry,effects, Animals, Loop"
Super Mario Sunshine Fx (860),"clean,dry,destructed,effects, Scratch, One shot"
Super Mario Sunshine Fx (861),"clean,dry,destructed,effects, Scratch, One shot"
Super Mario Sunshine Fx (862),"clean,destructed,effects, Scratch, One shot"
Super Mario Sunshine Fx (863),"clean,dry,destructed,effects, Scratch, One shot"
Super Mario Sunshine Fx (864),"clean,dry,destructed,effects, Scratch, One shot"
Super Mario Sunshine Fx (865),"clean,dry,effects, Child, One shot"
Super Mario Sunshine Fx (866),"electronic,dry,effects, Lead, One shot"
Super Mario Sunshine Fx (867),"clean,effects, Child, One shot"
Super Mario Sunshine Fx (868),"cinematic,clean,dry,effects, Animals, One shot"
Super Mario Sunshine Fx (869),"clean,effects, Child, One shot"
Super Mario Sunshine Fx (87),"clean,dry,effects, Child, One shot"
Super Mario Sunshine Fx (870),"bright,clean,dry,destructed,effects, Glitch, One shot"
Super Mario Sunshine Fx (871),"clean,electronic,dry,effects,percussive, Percussion, One shot"
Super Mario Sunshine Fx (872),"bright,clean,dry,destructed,effects, Glitch, One shot"
Super Mario Sunshine Fx (873),"bright,dry,effects,speech, Shout, One shot"
Super Mario Sunshine Fx (874),"dry,effects, , One shot"
Super Mario Sunshine Fx (875),"cinematic,dry,effects, Animals, One shot"
Super Mario Sunshine Fx (876),"dry,effects,speech, Shout, One shot"
Super Mario Sunshine Fx (877),"clean,dry,effects, Child, One shot"
Super Mario Sunshine Fx (878),"clean,dry,effects, Child, One shot"
Super Mario Sunshine Fx (879),"bright,dry,destructed,effects, Scratch, One shot"
Super Mario Sunshine Fx (88),"clean,effects, Child, Loop"
Super Mario Sunshine Fx (880),"clean,dry,destructed,effects, Scratch, One shot"
Super Mario Sunshine Fx (881),"clean,dry,effects, Child, One shot"
Super Mario Sunshine Fx (882),"clean,dry,effects, Child, One shot"
Super Mario Sunshine Fx (883),"dry,effects, Child, One shot"
Super Mario Sunshine Fx (884),"clean,dry,effects, Child, One shot"
Super Mario Sunshine Fx (885),"dry,effects, Child, One shot"
Super Mario Sunshine Fx (886),"dry,effects, Child, One shot"
Super Mario Sunshine Fx (887),"clean,dry,effects, FX, One shot"
Super Mario Sunshine Fx (888),"clean,dry,effects,speech, Shout, One shot"
Super Mario Sunshine Fx (889),"clean,dry,destructed,effects, Glitch, One shot"
Super Mario Sunshine Fx (89),"clean,dry,effects,sung, Vocal, Loop"
Super Mario Sunshine Fx (890),"bright,dry,destructed,effects, Scratch, One shot"
Super Mario Sunshine Fx (891),"cinematic,clean,dry,effects, Animals, One shot"
Super Mario Sunshine Fx (892),"clean,dry,destructed,effects, Scratch, One shot"
Super Mario Sunshine Fx (893),"dry,effects, Child, One shot"
Super Mario Sunshine Fx (894),"dry,destructed,effects, Scratch, One shot"
Super Mario Sunshine Fx (895),"bright,dry,destructed,effects, Scratch, One shot"
Super Mario Sunshine Fx (896),"clean,effects, Child, One shot"
Super Mario Sunshine Fx (897),"clean,dry,destructed,effects, Scratch, One shot"
Super Mario Sunshine Fx (898),"clean,effects, Child, One shot"
Super Mario Sunshine Fx (899),"dry,destructed,effects, Scratch, One shot"
Super Mario Sunshine Fx (9),"acoustic,effects,percussive,struck,bells, Xylophone, One shot"
Super Mario Sunshine Fx (90),"clean,dry,effects, Child, One shot"
Super Mario Sunshine Fx (900),"clean,dry,destructed,effects, Scratch, One shot"
Super Mario Sunshine Fx (901),"dry,destructed,effects, Scratch, One shot"
Super Mario Sunshine Fx (902),"cinematic,clean,dry,effects, Animals, One shot"
Super Mario Sunshine Fx (903),"clean,dry,effects, Child, One shot"
Super Mario Sunshine Fx (904),"dry,effects, Child, One shot"
Super Mario Sunshine Fx (905),"clean,dry,effects, Child, One shot"
Super Mario Sunshine Fx (906),"clean,dry,effects, Child, One shot"
Super Mario Sunshine Fx (907),"dry,effects,percussive, Beatbox, Loop"
Super Mario Sunshine Fx (908),"dry,effects,percussive, Beatbox, Loop"
Super Mario Sunshine Fx (909),"clean,dry,909,effects, Child, One shot"
Super Mario Sunshine Fx (91),"dry,effects,speech, Shout, One shot"
Super Mario Sunshine Fx (910),"clean,dry,effects, Child, Loop"
Super Mario Sunshine Fx (911),"clean,dry,effects, Child, Loop"
Super Mario Sunshine Fx (912),"clean,dry,effects, Child, One shot"
Super Mario Sunshine Fx (913),"clean,dry,effects, Child, One shot"
Super Mario Sunshine Fx (914),"clean,dry,effects, Child, One shot"
Super Mario Sunshine Fx (915),"clean,dry,effects, Child, One shot"
Super Mario Sunshine Fx (916),"clean,dry,effects,speech, Spoken, One shot"
Super Mario Sunshine Fx (917),"clean,dry,destructed,effects, Scratch, One shot"
Super Mario Sunshine Fx (918),"clean,effects, Child, One shot"
Super Mario Sunshine Fx (919),"bright,dry,effects,percussive, Beatbox, One shot"
Super Mario Sunshine Fx (92),"dry,effects,speech, Shout, One shot"
Super Mario Sunshine Fx (920),"bright,clean,dry,destructed,effects, Scratch, One shot"
Super Mario Sunshine Fx (921),"clean,dry,effects, Child, One shot"
Super Mario Sunshine Fx (922),"clean,dry,destructed,effects, Glitch, One shot"
Super Mario Sunshine Fx (923),"bright,dry,destructed,effects, Glitch, One shot"
Super Mario Sunshine Fx (924),"bright,clean,dry,destructed,effects, Glitch, One shot"
Super Mario Sunshine Fx (925),"clean,dry,effects, Child, One shot"
Super Mario Sunshine Fx (926),"clean,dry,effects, Child, One shot"
Super Mario Sunshine Fx (927),"bright,clean,dry,noise,effects, Texture, One shot"
Super Mario Sunshine Fx (928),"acoustic,monophonic,dry,effects,woodwind, Flute, One shot"
Super Mario Sunshine Fx (929),"dark,electronic,monophonic,dry,effects,low, Synth Bass, One shot"
Super Mario Sunshine Fx (93),"clean,dry,effects,speech, Vocal, One shot"
Super Mario Sunshine Fx (930),"impact,effects, Explosion, One shot"
Super Mario Sunshine Fx (931),"cinematic,clean,dry,effects, Animals, One shot"
Super Mario Sunshine Fx (932),"clean,dry,effects,speech, Shout, One shot"
Super Mario Sunshine Fx (933),"destructed,effects, Glitch, One shot"
Super Mario Sunshine Fx (934),"acoustic,drum,effects, Timpani, One shot"
Super Mario Sunshine Fx (935),"clean,dry,effects, FX, One shot"
Super Mario Sunshine Fx (936),"acoustic,clean,dry,effects,percussive,rattle, Cabasa, One shot"
